Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F111;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM AMARELO AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
F112;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM AZUL AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
F113B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM VERDE AUTOFLEX* METRO [BOBINA];M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
F114B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM BRANCO AUTOFLEX* METRO [BOBINA];M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
F133;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM MARROM AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
F133B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2 ,5MM MARROM AUTOFLEX* METRO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F140;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM CINZA AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
F120;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM BRANCO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F115B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F116B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F117B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM AMARELO AUTOFLEX* METRO (BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F118B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F123;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM AMARELO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F124;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM AZUL AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F125;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM VERDE AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F126;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM BRANCO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F121B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F142B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PL007;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X1,5MM BRANCO AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
PL007B;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X1,5MM BRANCO AUTOFLEX* METRO (BOBINA);M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
PL029;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X1,5MM MARROM AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
PL008;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X2,5MM BRANCO AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
MO001;CABO ELETRICO IMPERIUM (TERCEIROS);SERVIÇO DE INDUSTRIALIZAÇÃO (IMPERIUM);KG;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2445;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2446;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2452;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x16 MM;M;93716123555149.23;8.64;0.0;0.0;0.0;0.0;86650000000000.02
2453;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 2x25 MM;M;0.0;1.75;0.0;0.93;0.0;0.0;2.68
2454;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2455;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x1,5 MM;M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
2456;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x2,5 MM;M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
2457;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 3x4 MM;M;25448154969831.69;1.98;0.0;0.18;0.0;0.0;37.980000000000004
2462;CABO ELETRICO IMPERIUM (TERCEIROS);CABO DE CONTROLE PP M PRETO 1KV IMPERIUM PRETO 4x1,0 MM;M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
